Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9076.693,25890.892,2293.23,16.59,15.26225662,6.87
8971.913,25543.719,2289.708,13.41,13.30000019,3.99
9174.844,25791.586,2312.772,20.86,20.8599987,7.57
9091.655,25689.195,2228.095,21.63,20.97975349,4.74
9104.195,25849.427,2243.437,16.05,17.85736656,7.04
9031.586,25500.207,2070.436,25.24,25.24000168,8.3
9002.241,25035.761,2176.559,19.65,20.10322762,7.32
8996.894,25695.685,2224.618,25.51,24.01371193,4.69
9077.434,25903.366,2270.611,13.95,15.72378826,3.2
9092.158,25650.395,2256.335,13.52,13.84544945,4.22
9013.198,25634.814,2227.212,26.38,25.38414192,2.95
8995.847,25697.579,2136.486,17.61,17.77155304,5.25
9058.001,25596.527,2061.798,21.86,21.45667267,6.72
9064.138,25848.584,2291.257,9.45,12.61203098,7.2
9086.681,25873.767,2293.097,12.45,13.97429371,5.98
9090.232,25799.786,2216.679,26.31,24.1176815,6.74
9107.75,25724.239,2273.739,18.7,18.02462578,3.48
9172.051,25325.203,2229.431,8.27,8.33418179,8.1
9138.085,25526.605,2254.042,18.95,19.46858025,4.72
9048.748,25624.589,2264.67,7.7,11.17370319,10.76
9128.956,26026.907,2142.79,16.26,15.66087437,7.94
9127.239,26077.473,2134.087,16.63,16.30822563,6.48
9135.472,26185.79,2103.527,11.81,11.57416344,4.35
9060.958,25048.295,2248.341,19.29,18.9377079,7.15
9083.559,25047.579,2203.466,12.12,14.05531693,6.14
9071.296,25223.558,2193.848,12.81,14.85342503,6.53
9118.763,25496.345,2228.477,17.8,17.85901451,4.06
9152.961,25228.884,2246.871,10.23,11.04140949,5.02
9087.539,25424.299,2260.022,4.35,9.01896381,4.01
9152.322,25375.337,2255.083,12.58,14.05284309,4.21
9158.718,25124.315,2257.123,13.51,15.1186657,4.15
9013.397,25120.145,2268.579,14.71,15.14713383,4.85
8955.94,25224.375,2250.865,16.1,16.38685036,7.39
8972.898,25204.149,2259.634,13.49,14.52738667,7.29
9135.684,25276.531,2261.074,16.66,16.49930382,5.43
9042.047,25445.842,2258.192,18.9,18.58644867,7.32
9092.749,25515.645,2161.087,11.98,13.0581255,7.49
8950.309,25393.978,2098.258,19.58,19.7116127,7.57
9181.744,26049.183,2298.524,17.68,17.07726479,6.12
9101.951,26026.141,2201.359,9.43,10.98413944,6.12
9165.053,26130.763,2183.727,11.95,12.34896851,3.49
9167.498,26238.135,2190.937,16.25,15.61787701,9.0
9080.923,26025.93,2246.997,11.16,12.28953075,6.97
9049.965,25926.086,2300.063,10.45,12.38376999,8.47
9102.853,25631.876,2275.426,14.09,14.1232338,3.68
9026.41,25435.6,2269.221,20.58,20.14455986,4.04
9024.056,25490.481,2202.284,18.18,19.98183441,8.55
