xcentre,ycentre,zcentre,recpe,ue
8675.0,25827.5,1117.5,12.0,2
8665.0,25827.5,1117.5,12.0,2
8695.0,25827.5,1132.5,12.00000095,2
8685.0,25812.5,1132.5,12.0,2
8695.0,25812.5,1132.5,12.0,2
8685.0,25827.5,1117.5,11.99999905,2
8685.0,25827.5,1132.5,12.0,2
8685.0,25812.5,1117.5,12.0,2
8715.0,25827.5,1132.5,12.0,2
8705.0,25812.5,1132.5,12.0,2
8705.0,25827.5,1132.5,11.99999905,2
8715.0,25812.5,1132.5,12.0,2
8595.0,25857.5,1132.5,12.0,2
8585.0,25842.5,1132.5,12.0,2
8595.0,25842.5,1132.5,12.0,2
8615.0,25857.5,1132.5,12.0,2
8615.0,25857.5,1117.5,12.0,2
8615.0,25842.5,1117.5,12.0,2
8615.0,25842.5,1132.5,12.0,2
8605.0,25857.5,1132.5,12.0,2
8605.0,25842.5,1132.5,12.0,2
8625.0,25857.5,1132.5,12.0,2
8635.0,25842.5,1132.5,12.0,2
8635.0,25842.5,1117.5,12.0,2
8625.0,25842.5,1132.5,12.0,2
8635.0,25857.5,1132.5,12.0,2
8635.0,25857.5,1117.5,12.0,2
8625.0,25857.5,1117.5,12.0,2
8625.0,25842.5,1117.5,12.0,2
8645.0,25857.5,1132.5,12.0,2
8645.0,25842.5,1132.5,12.0,2
8645.0,25842.5,1117.5,12.0,2
8655.0,25857.5,1117.5,12.0,2
8655.0,25842.5,1117.5,12.0,2
8655.0,25842.5,1132.5,12.0,2
8655.0,25857.5,1132.5,12.00000095,2
8645.0,25857.5,1117.5,12.0,2
8665.0,25842.5,1132.5,12.0,2
8665.0,25842.5,1117.5,12.0,2
8675.0,25857.5,1117.5,12.0,2
8675.0,25842.5,1132.5,12.0,2
8675.0,25857.5,1132.5,12.00000095,2
8665.0,25857.5,1117.5,12.0,2
8665.0,25857.5,1132.5,12.0,2
8675.0,25842.5,1117.5,12.0,2
8695.0,25842.5,1132.5,12.0,2
8685.0,25857.5,1117.5,12.0,2
8685.0,25842.5,1132.5,12.0,2
8685.0,25842.5,1117.5,12.0,2
8685.0,25857.5,1132.5,12.0,2
8695.0,25857.5,1132.5,12.0,2
8715.0,25842.5,1132.5,11.99999905,2
8705.0,25857.5,1132.5,12.0,2
8705.0,25842.5,1132.5,12.0,2
8595.0,25872.5,1132.5,12.0,2
8595.0,25887.5,1132.5,12.0,2
8605.0,25872.5,1132.5,12.0,2
8615.0,25872.5,1117.5,12.0,2
8615.0,25872.5,1132.5,12.0,2
8615.0,25887.5,1132.5,12.0,2
8605.0,25887.5,1132.5,12.0,2
8635.0,25872.5,1117.5,12.0,2
8635.0,25887.5,1117.5,12.0,2
8625.0,25887.5,1132.5,12.0,2
8625.0,25887.5,1117.5,12.0,2
8625.0,25872.5,1132.5,12.0,2
8635.0,25887.5,1132.5,12.0,2
8625.0,25872.5,1117.5,12.0,2
8635.0,25872.5,1132.5,12.0,2
8655.0,25872.5,1132.5,12.00000095,2
8645.0,25872.5,1132.5,11.99999905,2
8655.0,25887.5,1117.5,12.0,2
8645.0,25887.5,1132.5,12.0,2
8645.0,25887.5,1117.5,12.0,2
8645.0,25872.5,1117.5,12.0,2
8655.0,25872.5,1117.5,12.0,2
8655.0,25887.5,1132.5,12.0,2
8665.0,25872.5,1117.5,12.0,2
8665.0,25872.5,1132.5,12.0,2
8675.0,25872.5,1117.5,12.0,2
8665.0,25887.5,1117.5,12.0,2
8665.0,25887.5,1132.5,12.0,2
8675.0,25887.5,1132.5,12.0,2
8675.0,25872.5,1132.5,12.0,2
8675.0,25887.5,1117.5,12.0,2
8695.0,25872.5,1132.5,12.0,2
8685.0,25872.5,1132.5,12.0,2
8685.0,25872.5,1117.5,12.0,2
8695.0,25887.5,1132.5,12.0,2
8685.0,25887.5,1132.5,12.0,2
8705.0,25872.5,1132.5,12.0,2
8705.0,25887.5,1132.5,12.0,2
8605.0,25902.5,1132.5,12.0,2
