Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
8968.865,25158.073,2127.125,17.92,0.2176210030102561,2,4
9205.31,24750.792,2210.865,20.26,0.5701609063769159,2,3
9254.352,24847.037,2178.989,23.11,0.9665293160381755,2,3
9272.895,24796.648,2208.454,26.63,1.331211009925645,2,3
9050.763,24996.478,2189.476,22.07,0.7999689045671678,2,3
9035.538,25340.245,2099.79,17.55,0.1511682318481011,2,4
9056.252,25387.938,2102.442,12.98,-0.7956783987809201,3,4
9061.111,25195.929,2169.085,19.4,0.4612146045705892,2,4
8990.582,25759.809,2138.527,15.36,-0.2510159186832716,3,4
9121.323,25151.815,2242.251,24.47,1.120004453210245,2,3
9063.494,25463.136,2155.462,20.73,0.6458809914532019,2,4
9047.796,25597.836,2125.729,21.28,0.7249732056113145,2,4
9138.946,25153.202,2204.98,23.53,1.023186651437851,2,3
9113.855,24943.501,2223.758,20.4,0.602943093848241,2,3
9040.564,25029.374,2243.245,23.22,0.9774865599420671,2,4
8986.194,25297.131,2161.312,24.13,1.0852361340932,2,4
8992.814,25261.978,2269.62,22.78,0.9070697999135215,2,4
9135.595,25252.968,2215.772,14.75,-0.3924106733646152,3,3
8991.521,25759.82,2128.069,16.39,-0.05146002009662893,3,4
9223.723,24847.853,2247.444,17.72,0.1747594195216733,2,3
9190.386,24999.11,2260.645,22.91,0.930036179723713,2,3
9033.629,25249.369,2181.768,19.96,0.5348129936004699,2,4
9122.013,25253.233,2184.059,15.98,-0.1245233660830673,2,4
9097.781,25253.791,2127.537,16.24,-0.07660354475064642,2,4
8997.352,25296.444,2139.232,19.31,0.4389072476648156,2,4
9088.701,25405.866,2193.545,20.99,0.6831778069051377,2,4
9080.627,25462.966,2130.836,18.08,0.2449841572638266,2,4
9124.22,25585.007,2250.066,27.31,1.40413939393726,2,4
9179.827,24750.131,2250.646,10.58,-1.501886470314835,4,3
9051.668,24750.007,2253.124,30.82,1.716690234811703,2,3
9246.694,24797.239,2269.011,20.43,0.6090607460571764,2,3
9105.309,24949.709,2243.624,20.65,0.6386096176206587,2,3
9050.332,24997.403,2218.708,17.95,0.2197688327769444,2,3
9061.308,25195.858,2181.083,23.96,1.065023051211364,2,4
9196.046,24750.501,2225.413,23.52,1.020764157384144,2,3
9253.576,24899.46,2231.413,30.29,1.674321593934047,2,3
9060.766,25196.055,2148.089,19.23,0.4142668635342554,2,4
9012.144,25270.633,2181.328,19.13,0.3861289398488366,2,4
9108.391,25253.506,2152.363,21.9,0.782351383071528,2,4
8974.937,25297.565,2184.189,15.87,-0.141720676988027,3,4
9047.645,25463.294,2178.24,19.16,0.3902438013224332,2,4
8976.754,25103.324,2218.389,40.83,2.366560258341472,2,4
9130.419,25891.357,2151.396,18.05,0.2383070611848588,3,4
9086.324,25997.184,2149.127,11.42,-1.225942748902993,3,4
9081.778,25702.288,2203.811,24.93,1.151067116940522,2,4
9053.736,25697.015,2229.131,17.15,0.09423192523971015,3,4
9077.806,25903.075,2183.393,21.09,0.6920327496787794,3,4
9089.857,25950.474,2204.823,16.03,-0.1123398979855648,3,4
9096.686,25950.943,2196.088,16.31,-0.06151263655249821,3,4
9114.912,25951.675,2184.243,13.33,-0.7204384868375581,3,4
9015.09,25750.905,2165.563,19.46,0.4696030591824158,3,4
9089.238,25947.434,2287.288,18.72,0.3255765657843933,3,4
9014.469,25693.552,2198.568,7.78,-2.405284753810421,3,4
9131.042,25734.074,2236.199,20.39,0.5964907108195574,2,4
9052.625,25795.113,2233.486,18.02,0.226489376607492,3,4
9076.105,25800.392,2185.08,19.19,0.401995024919857,3,4
9085.133,25552.933,2200.038,19.65,0.4921368228083809,2,4
9151.691,26001.271,2279.131,6.26,-3.102149316242297,3,4
8915.515,25281.007,2158.325,14.99,-0.3385763056784737,3,4
9102.624,25289.697,2231.21,19.18,0.3952035232743205,2,4
9133.429,26045.251,2224.825,17.33,0.1106635014163062,3,4
8978.2,25852.483,2121.936,19.53,0.4772299580850767,3,4
9070.099,25984.66,2265.155,14.68,-0.4163638741504777,3,4
9141.383,26044.824,2212.114,15.61,-0.2032832600460793,3,4
9067.968,25554.22,2218.114,18.95,0.358005786669042,2,4
8982.016,25852.412,2110.559,16.85,0.04385840776756296,3,4
9152.042,26001.975,2189.137,22.6,0.8808881195869303,2,4
9161.402,25200.202,2176.464,19.07,0.3781645197195244,2,3
9149.55,25401.05,2271.52,22.89,0.9223302184168565,2,4
9076.693,25890.892,2293.23,16.59,-0.01114250178214756,3,4
8971.913,25543.719,2289.708,13.41,-0.6991080877832274,3,4
9174.844,25791.586,2312.772,20.86,0.6653929196423797,2,4
9091.655,25689.195,2228.095,21.63,0.7475897208823575,2,4
9104.195,25849.427,2243.437,16.05,-0.1091441473226023,3,4
9031.586,25500.207,2070.436,25.24,1.184446818906046,2,4
9002.241,25035.761,2176.559,19.65,0.4921368228083809,2,4
8996.894,25695.685,2224.618,25.51,1.216568325700689,2,4
9077.434,25903.366,2270.611,13.95,-0.5760748876486936,3,4
9092.158,25650.395,2256.335,13.52,-0.6612147922013155,3,4
9013.198,25634.814,2227.212,26.38,1.30384088963118,2,4
8995.847,25697.579,2136.486,17.61,0.1625523959526249,3,4
9058.001,25596.527,2061.798,21.86,0.7745513751430645,2,4
9064.138,25848.584,2291.257,9.45,-1.894324612200377,3,4
