Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore,origen
9077.806,25903.075,2183.393,21.09,0.6920327496787795,3,4.0,original
9089.857,25950.474,2204.823,16.03,-0.1123398979855648,3,4.0,original
9096.686,25950.943,2196.088,16.31,-0.0615126365524982,3,4.0,original
9114.912,25951.675,2184.243,13.33,-0.720438486837558,3,4.0,original
9015.09,25750.905,2165.563,19.46,0.4696030591824158,3,4.0,original
9089.238,25947.434,2287.288,18.72,0.3255765657843933,3,4.0,original
9014.469,25693.552,2198.568,7.78,-2.405284753810421,3,4.0,original
9131.042,25734.074,2236.199,20.39,0.5964907108195574,2,4.0,original
9052.625,25795.113,2233.486,18.02,0.226489376607492,3,4.0,original
9076.105,25800.392,2185.08,19.19,0.401995024919857,3,4.0,original
9085.133,25552.933,2200.038,19.65,0.4921368228083809,2,4.0,original
9151.691,26001.271,2279.131,6.26,-3.102149316242297,3,4.0,original
8915.515,25281.007,2158.325,14.99,-0.3385763056784737,3,4.0,original
