Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
8975.0,25647.5,2182.5,19.89,19.33733368,18.048701279199847,19.775658884669113,20.2049907736911,19.448452
9135.0,26097.5,2272.5,20.45,18.36794281,14.411257058403352,14.090557431754378,16.38911811276947,15.1
9045.0,25557.5,2272.5,26.99,24.48923874,16.607188470492904,19.093208945639102,24.473131076592498,22.082167
9105.0,25557.5,2272.5,38.75,30.86226082,25.525735443582434,18.937950635279215,26.994591659428316,22.1325
9175.0,25497.5,2272.5,28.0,27.80647469,23.971450604725757,18.081894690308392,25.319459403151747,20.443714
9145.0,25587.5,2287.5,23.56,23.99328804,22.30614710032874,18.182402352951996,19.06400507295787,17.505531
8995.0,25632.5,2272.5,23.6,22.71552849,20.26816222169782,18.95987125026398,22.89416612962713,21.6011
9115.0,25797.5,2272.5,9.69,13.29672146,14.059133781707066,17.192168345387834,20.40030886223621,19.490599
9095.0,25842.5,2272.5,29.54,22.75481224,21.289496878150427,18.62330950223316,21.209298252285308,20.260782
9125.0,25797.5,2227.5,17.05,17.16030312,17.945520868522337,17.5,17.596726718508698,17.661034
9025.0,25887.5,2272.5,25.41,21.37240219,19.66831259287719,17.793040629589456,21.720920197421435,19.699339
9095.0,25887.5,2257.5,26.14,21.93207932,19.354308964686783,18.03607344355862,15.611256945023511,15.5689535
9095.0,25902.5,2287.5,20.03,18.23223686,18.693807734332943,16.87283344864702,17.50632755424708,16.627478
9135.0,25947.5,2287.5,13.34,14.49603176,13.740685297394673,15.335339539142975,15.599921896574697,16.0
9085.0,25947.5,2272.5,17.04,17.61314201,17.504507298330992,15.69,16.391398393349064,16.467585
9025.0,25992.5,2302.5,11.66,11.65999985,13.02479597409203,15.25785848052457,14.096880105051262,14.387463
9095.0,26007.5,2272.5,16.41,17.00801086,17.63685033575194,14.33140291811751,16.50725331847249,14.32934
9125.0,25977.5,2302.5,16.27,17.51434708,15.630441534440422,16.141482814659575,20.1879112499337,17.601255
9135.0,25977.5,2287.5,15.12,15.31727219,14.167398700764357,15.16269182993122,15.644811272920181,15.199401
9135.0,25977.5,2272.5,17.42,15.3644619,13.848231824470448,15.4639914149979,17.388155554731174,16.872335
9155.0,26007.5,2302.5,25.87,16.92651749,15.567548625700303,14.860572967474052,17.195751794311267,14.02503
9155.0,26007.5,2257.5,16.99,13.04286385,13.097378602853446,14.517315416327671,12.061459271853684,12.1504345
9125.0,26052.5,2302.5,17.5,15.44636059,15.543925346380085,15.2,17.453361590174765,15.499726
9135.0,26052.5,2302.5,11.21,14.75865459,13.9813549961015,14.636467739274744,16.74030712634652,15.783249
9155.0,26037.5,2272.5,7.2,11.00117493,11.042987042623999,13.532582443819914,14.4551714048039,13.335823
9155.0,26037.5,2257.5,11.47,12.35391426,12.61758717858278,13.80848400285418,12.118645000765799,12.359649
9075.0,24942.5,2137.5,27.88,27.07837486,21.2,19.273279377082876,19.093771309687074,18.179943
9205.0,25002.5,2167.5,22.89,20.27684021,15.606006158784547,18.54776674139552,17.753559834583474,19.234535
9045.0,25827.5,2212.5,19.44,19.27900124,18.163038011815182,17.5,19.542149279696606,18.19302
8975.0,25032.5,2152.5,26.52,26.1836586,25.01139883184102,21.103311755763073,22.08174951950691,22.2
9045.0,25152.5,2182.5,26.98,26.57564926,22.728710356967525,19.591025768129057,19.60285457977425,19.179546
8885.0,25287.5,2167.5,38.46,29.0906601,30.13581073185933,21.810026925060473,23.16309674503968,22.359083
8905.0,25272.5,2182.5,37.59,34.61853027,27.98050926769812,20.831928878935496,22.102280956329324,20.731586
9015.0,25512.5,2107.5,27.1,24.87880516,22.623638605300002,20.395420942078626,21.209404464935375,20.965607
9065.0,25692.5,2107.5,27.68,23.84113503,19.291340052548005,17.410720819659772,16.28872876229932,16.50622
9255.0,24702.5,2212.5,23.25,22.50253487,20.628968663880762,19.15759365163217,22.608347107446715,21.087313
