Norte,Este,Cota,dist_3d_m,Rec_Peso_PND25_(%),recpe,diferencia
24899.46,9253.576,2231.413,4.602276067338767,30.29,26.96967506,3.320324939999999
25196.055,9060.766,2148.089,6.282650873636293,19.23,19.20365143,0.026348569999999683
25270.633,9012.144,2181.328,3.6077706412676296,19.13,19.0932312,0.03676879999999727
25253.506,9108.391,2152.363,5.2411531173958,21.9,20.89979362,1.000206379999998
25297.565,8974.937,2184.189,5.216408247061615,15.87,17.52588844,-1.65588844
25463.294,9047.645,2178.24,6.5447735636911055,19.16,19.43870735,-0.27870735000000124
25103.324,8976.754,2218.389,7.429388467431215,40.83,37.63652039,3.193479609999997
25891.357,9130.419,2151.396,6.089402762176318,18.05,17.87197876,0.17802123999999964
25997.184,9086.324,2149.127,5.921989614986847,11.42,13.1761713,-1.7561713
25702.288,9081.778,2203.811,8.796303143934697,24.93,23.50471306,1.4252869399999994
25697.015,9053.736,2229.131,4.964179891985411,17.15,17.61705208,-0.467052080000002
25903.075,9077.806,2183.393,3.000284986464397,21.09,20.45934486,0.6306551399999982
25950.474,9089.857,2204.823,9.276931281409166,16.03,16.05219078,-0.022190779999998966
25950.943,9096.686,2196.088,4.085411729555984,16.31,15.7696743,0.5403256999999986
25951.675,9114.912,2184.243,4.525087623460308,13.33,14.67739582,-1.3473958199999991
25750.905,9015.09,2165.563,2.5107954914734383,19.46,18.57598686,0.8840131400000004
25947.434,9089.238,2287.288,4.243812436948003,18.72,17.74816513,0.9718348699999986
25693.552,9014.469,2198.568,1.590373855419124,7.78,10.7548418,-2.974841799999999
25734.074,9131.042,2236.199,8.191815488644735,20.39,20.10279083,0.28720917000000057
25795.113,9052.625,2233.486,6.868084885904718,18.02,19.06660271,-1.046602710000002
25800.392,9076.105,2185.08,4.030023449063002,19.19,19.58585548,-0.39585547999999804
25552.933,9085.133,2200.038,5.226530589214203,19.65,19.15052986,0.4994701399999997
26001.271,9151.691,2279.131,9.680913335010567,6.26,10.43257332,-4.17257332
25281.007,8915.515,2158.325,8.738129033149988,14.99,15.80451012,-0.8145101199999996
25289.697,9102.624,2231.21,4.923036156682353,19.18,19.03216743,0.1478325699999985
26045.251,9133.429,2224.825,7.884901204200198,17.33,15.87030029,1.4596997099999989
25852.483,8978.2,2121.936,5.977322561147486,19.53,18.51036644,1.0196335600000026
25984.66,9070.099,2265.155,11.368132036530602,14.68,15.46897125,-0.7889712499999995
26044.824,9141.383,2212.114,8.177570605015221,15.61,14.97068501,0.639314989999999
25554.22,9067.968,2218.114,7.147336566861618,18.95,18.82811928,0.12188072000000005
25852.412,8982.016,2110.559,6.644507581454083,16.85,17.38799286,-0.5379928599999992
26001.975,9152.042,2189.137,9.128261499322942,22.6,21.98710251,0.6128974900000017
25200.202,9161.402,2176.464,7.5285924315244035,19.07,17.75272369,1.3172763100000004
25401.05,9149.55,2271.52,7.953954991072227,22.89,23.37147141,-0.48147141000000104
25890.892,9076.693,2293.23,6.870575885615169,16.59,15.26225662,1.3277433799999994
25543.719,8971.913,2289.708,3.986325877296014,13.41,13.30000019,0.1099998099999997
25791.586,9174.844,2312.772,7.573223620097904,20.86,20.8599987,1.300000000981072e-06
25689.195,9091.655,2228.095,4.739839132291022,21.63,20.97975349,0.6502465099999988
25849.427,9104.195,2243.437,7.03628616530026,16.05,17.85736656,-1.8073665599999984
25500.207,9031.586,2070.436,8.29959884572709,25.24,25.24000168,-1.6800000004479898e-06
25035.761,9002.241,2176.559,7.317218255593353,19.65,20.10322762,-0.45322761999999983
25695.685,8996.894,2224.618,4.694399322598108,25.51,24.01371193,1.496288070000002
25903.366,9077.434,2270.611,3.2004113798073086,13.95,15.72378826,-1.77378826
25650.395,9092.158,2256.335,4.220807268758618,13.52,13.84544945,-0.3254494500000007
25634.814,9013.198,2227.212,2.9469889718137474,26.38,25.38414192,0.9958580799999979
25697.579,8995.847,2136.486,5.248032583741788,17.61,17.77155304,-0.16155304000000115
25596.527,9058.001,2061.798,6.721274730289095,21.86,21.45667267,0.40332732999999976
25848.584,9064.138,2291.257,7.202301646000807,9.45,12.61203098,-3.162030980000001
25873.767,9086.681,2293.097,5.979754091934177,12.45,13.97429371,-1.5242937100000002
25799.786,9090.232,2216.679,6.739707782982974,26.31,24.1176815,2.192318499999999
25724.239,9107.75,2273.739,3.481629216330329,18.7,18.02462578,0.6753742199999984
25325.203,9172.051,2229.431,8.103799787752886,8.27,8.33418179,-0.06418179000000102
25526.605,9138.085,2254.042,4.719747238994475,18.95,19.46858025,-0.5185802499999994
25624.589,9048.748,2264.67,10.756873384027402,7.7,11.17370319,-3.4737031899999993
26026.907,9128.956,2142.79,7.940760983683742,16.26,15.66087437,0.5991256300000014
26077.473,9127.239,2134.087,6.4755246119507825,16.63,16.30822563,0.32177437
26185.79,9135.472,2103.527,4.351047345179828,11.81,11.57416344,0.23583656000000097
25048.295,9060.958,2248.341,7.147521948199365,19.29,18.9377079,0.35229209999999966
25047.579,9083.559,2203.466,6.138067937063017,12.12,14.05531693,-1.9353169300000008
25223.558,9071.296,2193.848,6.526567551170459,12.81,14.85342503,-2.04342503
25496.345,9118.763,2228.477,4.055702528539696,17.8,17.85901451,-0.0590145100000008
25228.884,9152.961,2246.871,5.017830009077485,10.23,11.04140949,-0.8114094899999991
25424.299,9087.539,2260.022,4.005422075137615,4.35,9.01896381,-4.668963810000001
25375.337,9152.322,2255.083,4.20620280062683,12.58,14.05284309,-1.4728430899999996
25124.315,9158.718,2257.123,4.154500932723549,13.51,15.1186657,-1.6086656999999995
25120.145,9013.397,2268.579,4.8466354308936666,14.71,15.14713383,-0.4371338299999987
25224.375,8955.94,2250.865,7.394082093133931,16.1,16.38685036,-0.28685035999999897
25204.149,8972.898,2259.634,7.292568888945784,13.49,14.52738667,-1.03738667
25276.531,9135.684,2261.074,5.430496570295554,16.66,16.49930382,0.16069617999999863
25445.842,9042.047,2258.192,7.316285737995052,18.9,18.58644867,0.31355132999999924
25515.645,9092.749,2161.087,7.488964881744593,11.98,13.0581255,-1.0781254999999987
25393.978,8950.309,2098.258,7.5726170509277715,19.58,19.7116127,-0.13161270000000158
26049.183,9181.744,2298.524,6.116584095718053,17.68,17.07726479,0.6027352099999987
26026.141,9101.951,2201.359,6.119245296603338,9.43,10.98413944,-1.5541394400000001
26130.763,9165.053,2183.727,3.4864748672539134,11.95,12.34896851,-0.39896851000000133
26238.135,9167.498,2190.937,9.00367691557073,16.25,15.61787701,0.6321229899999992
26025.93,9080.923,2246.997,6.972075587656448,11.16,12.28953075,-1.1295307500000007
25926.086,9049.965,2300.063,8.469332323153315,10.45,12.38376999,-1.93376999
25631.876,9102.853,2275.426,3.6824531225805126,14.09,14.1232338,-0.03323379999999965
25435.6,9026.41,2269.221,4.043506028189533,20.58,20.14455986,0.4354401399999972
25490.481,9024.056,2202.284,8.546587213619443,18.18,19.98183441,-1.8018344100000014
25682.267,9058.688,2071.863,8.252357360172972,6.6,10.49835587,-3.8983558699999996
25499.791,9053.335,2194.482,4.138747395046962,24.12,22.58610153,1.5338984700000005
25349.458,9106.073,2258.02,2.292486204973904,16.69,16.17718124,0.5128187600000018
25554.22,9088.216,2242.245,4.600660930778823,19.35,19.77722359,-0.427223589999997
25552.933,9067.977,2201.842,6.969431971114806,15.59,18.24846077,-2.6584607700000014
25398.912,8845.722,2064.784,6.844828997133784,27.4,28.42717171,-1.027171710000001
24600.047,8855.769,2170.495,32.60473270861086,20.4,12.15999985,8.240000149999998
