Orig_Este,Orig_Norte,Orig_Cota,Orig_Real_RecPeso(%),Val_Este,Val_Norte,Val_Cota,Val_Real_Empresa_recpe(%),pred_real_knn,pred_real_xgb,pred_real_svr,pred_real_mlp,Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
9027.802,25894.732,2272.641,25.41,9025.0,25887.5,2272.5,21.37240219,15.294802056826722,14.303826251894765,17.75088584869128,15.69035109922141,1.200056974255027,3,2
9094.331,25887.782,2263.745,26.14,9095.0,25887.5,2257.5,21.93207932,17.93376234699151,18.123785891645035,16.876754091021166,16.863574369637,1.262844688004473,3,2
9090.469,25903.706,2284.083,20.03,9095.0,25902.5,2287.5,18.23223686,18.664562214299217,22.79108919965541,17.200329386376296,15.899625260863436,0.5467127119792434,3,2
9132.75,25948.532,2287.515,13.34,9135.0,25947.5,2287.5,14.49603176,16.873034915110576,14.538587361513995,16.952009273924645,16.103516179111796,-0.7127895775323339,3,2
9087.432,25948.323,2266.384,17.04,9085.0,25947.5,2272.5,17.61314201,18.027204130043156,14.648355850819371,16.874313972608704,16.104307101893525,0.081200467245243,3,2
9026.228,25997.111,2299.123,11.66,9025.0,25992.5,2302.5,11.65999985,15.03665623731233,11.887923405174044,17.471199227767894,14.666607675536467,-1.174386524713683,3,2
9099.859,26000.602,2268.387,16.41,9095.0,26007.5,2272.5,17.00801086,15.686135130774991,17.608175906219042,16.630810053735317,15.899871067620065,-0.0287733721617505,3,2
9129.744,25984.761,2296.717,16.27,9125.0,25977.5,2302.5,17.51434708,14.497165581981996,16.180365044604407,17.09943796478096,15.572203764362449,-0.0617788880580227,3,2
9130.633,25984.794,2286.255,15.12,9135.0,25977.5,2287.5,15.31727219,14.470862135628211,15.31292537394371,16.8721855733778,15.976960086135758,-0.3097425315385302,3,2
9131.67,25984.87,2274.3,17.42,9135.0,25977.5,2272.5,15.3644619,15.67760125830003,15.327840568283378,16.688098369441523,16.301418680050393,0.124926172621193,3,2
9151.562,26001.181,2297.13,25.87,9155.0,26007.5,2302.5,16.92651749,16.375092821641648,16.850026020585982,17.082137311761358,15.626808347452263,1.238066183623676,3,2
9155.685,26001.529,2264.65,16.99,9155.0,26007.5,2257.5,13.04286385,16.6,13.097154511168139,16.31368659716291,16.31,0.0777243396117514,3,2
9122.364,26046.478,2306.83,17.5,9125.0,26052.5,2302.5,15.44636059,15.660859161205737,14.294380179121855,16.8062056895348,15.254149537965398,0.1371769993450495,3,2
9130.638,26046.043,2296.171,11.21,9135.0,26052.5,2302.5,14.75865459,16.31,15.626660162816036,16.853254510629572,15.30020169862941,-1.275302474602153,3,2
9150.78,26044.841,2270.059,7.2,9155.0,26037.5,2272.5,11.00117493,17.665157328877495,15.12620066930816,16.4457298910535,15.984620599934043,-2.751583529174885,3,2
9156.304,26044.489,2262.963,11.47,9155.0,26037.5,2257.5,12.35391426,16.6,12.5934038623256,16.228078141995493,16.09082442299683,-1.204922507842223,3,2
9078.635,24937.082,2143.278,27.88,9075.0,24942.5,2137.5,27.07837486,21.868993312281678,20.973463463292973,19.655500001597844,19.691418474701802,1.448039949552206,3,3
9209.18,25000.798,2162.371,22.89,9205.0,25002.5,2167.5,20.27684021,15.606670932628115,15.71873672963713,18.194857739736438,17.730111334682935,0.91087286903535,3,3
9049.107,25826.092,2218.272,19.44,9045.0,25827.5,2212.5,19.27900124,15.37510489366603,17.06169598012863,17.20106071904756,17.8,0.4645060219689551,3,2
8979.955,25034.508,2152.196,26.52,8975.0,25032.5,2152.5,26.1836586,25.23686254912161,25.077937565270684,21.130635392350108,22.788780255687335,1.309830466478528,3,3
9044.492,25146.143,2179.372,26.98,9045.0,25152.5,2182.5,26.57564926,19.29420402226676,23.19166328006925,19.662122372270424,19.869671807357285,1.359438652743095,3,3
8881.722,25294.717,2164.516,38.46,8885.0,25287.5,2167.5,29.0906601,26.287219764216548,30.868786293385423,22.384542706932834,24.68387190094361,2.13402514571507,3,1
8901.546,25277.669,2177.68,37.59,8905.0,25272.5,2182.5,34.61853027,26.28721976421654,21.864951980032902,22.3439730778226,23.52657478288982,2.090071857463877,3,2
9011.123,25507.842,2100.682,27.1,9015.0,25512.5,2107.5,24.87880516,23.329274983520907,18.761565424644598,18.784807122394106,19.10003388601869,1.384628258287824,3,2
9062.929,25696.995,2100.967,27.68,9065.0,25692.5,2107.5,23.84113503,20.39711221417386,18.89979737183601,16.7,16.49378498909995,1.440565042401672,3,2
9256.22,24697.001,2216.589,23.25,9255.0,24702.5,2212.5,22.50253487,20.71840017474015,20.77870802864455,18.062306827317297,18.072312955112537,0.9742420296454318,3,3
9166.261,25072.189,2168.542,23.79,9165.0,25077.5,2167.5,23.36639214,15.524027892805213,17.053987086459205,18.423201194825644,17.748088248268093,1.035789621854487,3,3
9023.816,25441.951,2102.756,23.79,9025.0,25437.5,2107.5,22.96831512,20.39214885104859,21.198101364794088,18.992721978610433,19.237953941982447,1.035789621854487,3,2
9245.192,24697.927,2240.392,20.34,9245.0,24702.5,2242.5,20.37264633,18.738659685492845,18.99926729313749,18.013140040983732,17.736858789473345,0.5814005702012147,3,3
