block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
2236457,8625.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236458,8635.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236459,8625.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236460,8625.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236461,8635.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236462,8625.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236463,8635.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236464,8645.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236465,8645.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236466,8655.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236467,8645.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236468,8655.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236469,8645.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236470,8655.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236471,8655.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236472,8675.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236473,8675.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236474,8675.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236475,8665.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236476,8675.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236477,8665.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236478,8665.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236479,8665.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236480,8695.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236481,8695.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236483,8685.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
